num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
1;  0.0100;1;35;250.03;   99.8;   99.8;  2.19e-02
2;  0.0100;1;66;391.27;   99.2;   98.7;  3.96e-02
3;  0.0100;1;79;449.7;   97.9;   98.2;  5.23e-02
4;  0.0100;1;28;222.27;   99.9;  100.0;  2.21e-02
5;  0.0100;1;42;262.11;   99.8;   99.9;  2.99e-02
6;  0.0100;1;77;430.62;   99.4;   99.4;  3.63e-02
7;  0.0100;1;34;235.41;   99.8;   99.8;  2.49e-02
8;  0.0100;1;113;625.28;   96.6;   97.3;  6.32e-02
9;  0.0100;1;79;480.94;   98.3;   98.6;  4.92e-02
0;  0.0100;1;89;524.37;   98.9;   98.8;  4.15e-02
