num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
1;  0.0100;3;34;266.88;   99.8;   99.8;  2.19e-02
2;  0.0100;3;35;333.71;   99.2;   98.7;  3.96e-02
3;  0.0100;3;42;322.95;   97.9;   98.2;  5.23e-02
4;  0.0100;3;38;316.01;   99.9;  100.0;  2.21e-02
5;  0.0100;3;38;306.88;   99.8;   99.9;  2.99e-02
6;  0.0100;3;38;295.14;   99.4;   99.4;  3.63e-02
7;  0.0100;3;36;311.75;   99.8;   99.8;  2.49e-02
8;  0.0100;3;44;361.96;   96.6;   97.3;  6.32e-02
9;  0.0100;3;43;358.67;   98.3;   98.6;  4.92e-02
0;  0.0100;3;46;390.33;   98.9;   98.8;  4.15e-02
