num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
1;  0.0000;7;100100;1178.98;  100.0;  100.0;  5.00e-04
2;  0.0000;7;100100;1202.96;   99.7;   99.5;  3.16e-03
3;  0.0000;7;100100;1215.33;   99.1;   99.2;  7.72e-03
4;  0.0000;7;100100;1210.4;  100.0;  100.0;  4.03e-04
5;  0.0000;7;100100;1198.55;  100.0;  100.0;  1.03e-03
6;  0.0000;7;100100;1177.88;   99.8;   99.9;  2.05e-03
7;  0.0000;7;100100;1192.32;   99.9;   99.9;  9.03e-04
8;  0.0000;7;100100;1188.12;   98.3;   98.8;  1.35e-02
9;  0.0000;7;100100;1197.59;   99.2;   99.4;  6.78e-03
0;  0.0000;7;100100;1193.74;   99.7;   99.5;  3.73e-03
