num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
1;  0.0000;1;24;  0.2110;  100.0;  100.0;  4.29e-07
1;  0.0000;3;5;  0.0570;  100.0;  100.0;  2.64e-36
1;  0.0000;7;125125;27.22;  100.0;  100.0;  1.30e-04
1;  0.0100;1;35;  0.2580;  100.0;  100.0;  2.66e-02
1;  0.0100;3;37;  0.3180;  100.0;  100.0;  2.66e-02
1;  0.0100;7;1375;  0.0450;  100.0;  100.0;  2.78e-02
1;  0.1000;1;33;  0.2640;  100.0;  100.0;  9.52e-02
1;  0.1000;3;17;  0.1610;  100.0;  100.0;  9.52e-02
1;  0.1000;7;1875;  0.0460;  100.0;  100.0;  9.54e-02
2;  0.0000;1;436;19.26;  100.0;   98.0;  1.48e-06
2;  0.0000;3;13;  0.0700;  100.0;   98.4;  2.48e-21
2;  0.0000;7;27250;  0.5170;  100.0;   98.8;  3.29e-03
2;  0.0100;1;103;  0.4760;   99.6;   98.8;  5.37e-02
2;  0.0100;3;45;  0.3120;   99.6;   98.8;  5.37e-02
2;  0.0100;7;1500;  0.0270;   99.6;   98.8;  5.56e-02
2;  0.1000;1;30;  0.2000;   94.8;   90.0;  1.32e-01
2;  0.1000;3;20;  0.1630;   94.8;   90.0;  1.32e-01
2;  0.1000;7;1375;  0.0220;   52.8;   89.6;  2.46e-01
3;  0.0000;1;523;22.53;  100.0;   98.0;  1.59e-06
3;  0.0000;3;7;  0.0410;   99.6;   98.0;  4.00e-03
3;  0.0000;7;8000;  0.1180;  100.0;   98.4;  4.64e-03
3;  0.0100;1;159;  0.7920;  100.0;   98.8;  6.66e-02
3;  0.0100;3;43;  0.2960;  100.0;   98.8;  6.66e-02
3;  0.0100;7;1375;  0.0470;   98.8;   99.2;  7.42e-02
3;  0.1000;1;37;  0.2070;   95.2;   92.4;  1.60e-01
3;  0.1000;3;19;  0.1430;   95.2;   92.4;  1.60e-01
3;  0.1000;7;1375;  0.0270;   69.6;   93.2;  2.47e-01
4;  0.0000;1;49;  0.2340;  100.0;  100.0;  6.18e-07
4;  0.0000;3;5;  0.0220;  100.0;  100.0;  1.97e-34
4;  0.0000;7;125125;24.47;  100.0;  100.0;  1.69e-04
4;  0.0100;1;38;  0.2040;  100.0;  100.0;  2.63e-02
